"Code","Teacher","Title","Description","Credits","Status"
"1ENG",,"English Level 1",,9,"Active"
"1MAT",,"Math Level 1",,7,"Active"
"1SCI",,"Science Level 1",,5,"Active"
"1AGR",,"Agriculture Level 1",,4,"Active"
"1SPA",,"Spanish Level 1",,3,"Active"
"1VOT",,"Votech Level 1",,3,"Active"
"1SOC",,"Social Studies Level 1",,3,"Active"
"1REL",,"Religion Level 1",,2,"Active"
"1COU",,"Counseling Level 1",,1,"Active"
"1PE",,"Physical Education Level 1",,2,"Active"
"1CRE",,"Creative Arts Level 1",,2,"Active"
"1COM",,"Computer Level 1",,2,"Active"
"2ENG",,"English Level 2",,9,"Active"
"2MAT",,"Math Level 2",,7,"Active"
"2SCI",,"Science Level 2",,5,"Active"
"2SPA",,"Spanish Level 2",,3,"Active"
"2VOT",,"Votech Level 2",,3,"Active"
"2SOC",,"Social Studies Level 2",,3,"Active"
"2REL",,"Religion Level 2",,1,"Active"
"2COU",,"Counseling Level 2",,1,"Active"
"2COM",,"Computer Level 2",,2,"Active"
"2PE",,"Physical Education Level 2",,2,"Active"
"2ANS",,"Animal Science Level 2",,2,"Active"
"2TD",,"Technical Drawing Level 2",,3,"Active"
"2CRE",,"Creative Arts Level 2",,2,"Active"
"3ENG1",,"English Level 3",,6,"Active"
"3MAT",,"Math Level 3",,6,"Active"
"3BIO",,"Biology Level 3",,5,"Active"
"3CHEM",,"Chemistry Level 3",,5,"Active"
"3PHY",,"Physics Level 3",,5,"Active"
"3GEO",,"Geography Level 3",,4,"Active"
"3SPA",,"Spanish Level 3",,3,"Active"
"3COM",,"Computer Level 3",,4,"Active"
"3PE1",,"Physical Education Level 3",,1,"Active"
"3LIT",,"Literature Level 3",,3,"Active"
"3COU",,"Counseling Level 3",,1,"Active"
"3ENG2",,"English Level 3",,7,"Active"
"3SCI",,"Integrated Science Level 3",,5,"Active"
"3HIS",,"History Level 3",,4,"Active"
"3SOC",,"Social Studies Level 3",,4,"Active"
"3REL",,"Religion Level 3",,3,"Active"
"3PE2",,"Physical Education Level 3",,2,"Active"
"3PUB",,"Public Speaking Level 3",,1,"Active"
"3POB",,"Principles of Business Level 3",,4,"Active"
"3POA",,"Principles of Accounting Level 3",,5,"Active"
"3OA",,"Office Administration Level 3",,3,"Active"
"4ENG1",,"English Level 4",,6,"Active"
"4MAT",,"Math Level 4",,6,"Active"
"4BIO",,"Biology Level 4",,5,"Active"
"4CHEM",,"Chemistry Level 4",,5,"Active"
"4PHY",,"Physics Level 4",,5,"Active"
"4GEO",,"Geography Level 4",,4,"Active"
"4SPA",,"Spanish Level 4",,3,"Active"
"4COM",,"Computer Level 4",,4,"Active"
"4PE1",,"Physical Education Level 4",,1,"Active"
"4LIT",,"Literature Level 4",,3,"Active"
"4COU",,"Counseling Level 4",,1,"Active"
"4ENG2",,"English Level 4",,7,"Active"
"4SCI",,"Integrated Science Level 4",,5,"Active"
"4HIS",,"History Level 4",,4,"Active"
"4SOC",,"Social Studies Level 4",,4,"Active"
"4REL",,"Religion Level 4",,3,"Active"
"4PE2",,"Physical Education Level 4",,2,"Active"
"4PUB",,"Public Speaking Level 4",,1,"Active"
"4POB",,"Principles of Business Level 4",,4,"Active"
"4POA",,"Principles of Accounting Level 4",,5,"Active"
"4OA",,"Office Administration Level 4",,3,"Active"
